index,core_people_number,important_node_number,live_apple,live_people_number,live_stay_fre,live_weekday_day_time,live_weekday_eve_time,live_weekend_day_time,live_weekend_eve_time,no_core_people_number,noimportant_node_number,sx_29_01,sx_29_02,sx_29_03,sx_29_04,sx_29_05,sx_29_06,sx_29_07,sx_29_08,sx_29_09,sx_29_10,sx_29_11,sx_29_12,sx_29_13,sx_29_14,sx_29_15,sx_29_16,visit_apple,visit_people_number,visit_stay_fre,visit_weekday_day_time,visit_weekday_eve_time,visit_weekend_day_time,visit_weekend_eve_time,walk_frequency,web_time_business,web_time_enjoy,web_time_life,web_time_other,work_apple,work_people_number,work_stay_fre,work_weekday_day_time,work_weekday_eve_time,work_weekend_day_time,work_weekend_eve_time
163113,9299,NA,338,1725,20353,504539321,219430741,194573597,84256674,2278,58,NA,3,15,133,1516,1654,1201,1111,891,1018,632,358,272,146,192,802,2495,8918,20353,123722239,31556425,83831564,13475961,10059,212329449,203532299,307522582,517204479,248,934,20353,215982468,20123598,35024920,5178924
197389,2290,NA,35,169,5270,50992004,31109002,22888500,12137993,164,2,NA,1,3,26,357,537,371,292,179,160,106,54,51,15,16,134,704,2231,5270,23999304,11308308,12984924,4368284,3082,62722887,59042473,89618870,143134694,13,56,5270,10121554,2589411,3701744,1035127
168118,14096,NA,302,1614,27118,500831961,229697218,199836582,87287532,2658,2,1,3,15,166,1479,2254,2175,2081,1403,1320,995,567,493,265,305,1150,3371,13694,27118,168093521,31605331,58167709,12546627,705,332497946,341988078,510931920,792443091,459,1449,27118,544662030,23814891,49501533,5885735
188098,9227,NA,102,1256,18208,380786429,169545155,152510872,66713387,1738,1,NA,2,14,191,1388,1771,1321,949,709,710,507,296,229,99,110,645,1710,9150,18208,87326115,21185907,39868275,9726434,19183,194361995,196635129,215223631,492136909,66,560,18208,98993503,13162043,17763685,3781725
190908,1693,NA,6,438,3705,120773100,48508307,54545311,20765418,387,NA,NA,1,1,36,161,188,180,200,137,190,130,72,51,33,25,142,58,1565,3705,17336436,3166355,9024910,1868216,NA,7739916,12501479,17498798,21403683,1,77,3705,11279678,1185571,3522693,512746
188789,2125,NA,49,194,5146,57306115,32252568,25465697,12023434,185,3,NA,1,4,24,272,401,336,256,172,152,112,56,38,12,15,157,475,1985,5146,34425142,8933260,11925528,3523647,16365,54620287,60979677,141620683,133872366,42,131,5146,26673918,3091150,4838041,969699
176684,8749,NA,209,1129,17927,423528442,169624824,167288803,67412583,1503,10,NA,NA,9,66,831,1224,1063,1099,843,806,549,321,298,155,204,887,1230,8334,17927,81692908,15454776,44770596,7672757,7973,125986202,118765752,206185579,309461499,187,792,17927,207408025,15254834,37218479,4641312
173810,18740,2,590,2259,32255,659857982,301160540,257136253,112253519,3908,16,NA,6,24,323,2897,4257,3519,2726,1845,1615,966,402,301,158,194,1299,5860,16068,32255,208195858,38825225,91625029,17250930,67039,570186668,535860244,790800282,1368959603,1945,4326,32255,1755344540,88006517,138321740,13329571
187374,3435,NA,131,780,5588,279642737,140189190,110003788,56551859,453,23,NA,NA,2,35,524,804,692,482,266,223,129,73,54,23,20,167,608,2022,5588,40953514,10889825,15589747,4190996,132534,108332216,112851772,114423339,255174229,473,1087,5588,332276534,30084540,25893568,3908784
169522,17892,2,260,1158,38812,374316213,175095831,157848489,66281453,2132,6,NA,6,42,448,3471,3742,2559,1985,1708,1665,872,444,336,163,281,976,6592,17780,38812,202348207,36204794,121593968,18571799,113353,579734507,577268378,711291635,1420413585,409,1087,38812,358572693,19375133,56548438,4830114
166677,7022,NA,662,2128,14697,763493266,396490859,320683024,144193865,1129,3,NA,1,16,144,1142,1088,943,810,672,673,435,264,225,111,144,513,1478,5622,14697,90836294,30963435,58520274,15426956,2360,153520087,169829083,257337578,376393252,87,405,14697,99389148,16543300,18476606,4182886
176671,4613,NA,375,1133,9177,425807531,180276082,161830473,69579950,826,7,NA,NA,4,129,1721,853,486,372,309,335,196,95,52,22,36,216,1188,3502,9177,54452189,14088645,46628716,6225212,23512,168733678,149184173,177344876,492732248,330,806,9177,191234580,28156756,40707786,8127135
163833,10146,NA,334,2102,17558,711901178,364246662,308868691,141710319,2046,NA,NA,3,12,90,766,1218,1208,1397,1192,1109,764,482,418,251,274,917,1435,9220,17558,110615864,26521701,53977294,11977228,NA,149258966,154180696,276941871,355246205,182,872,17558,245467436,13642889,28554728,3410644
165958,27335,NA,144,917,54582,230569305,110720393,103936064,45140302,3202,11,NA,4,30,291,2403,3181,3140,3134,2678,2769,1907,1160,912,594,694,3027,4899,28672,54582,228465928,41861965,109202036,19144310,33762,404635422,441608956,655572117,972568414,208,948,54582,222164567,14368798,58319590,5180819
170970,8501,NA,355,1392,16179,420352357,210564833,176677991,81253259,1603,NA,NA,2,14,136,1183,1558,1297,1109,830,789,555,330,233,133,149,655,1935,8013,16179,72787657,27407511,37506415,12162903,NA,201650328,231601221,359893058,490777248,242,699,16179,270429810,17697959,26593082,2887463
168091,4027,NA,100,294,8952,95340809,51238006,40589174,19087660,429,12,NA,2,4,63,619,796,620,538,398,417,227,107,68,42,36,242,1270,3974,8952,52079256,10010914,22443165,4719547,60482,117646376,99325342,202771968,246396498,58,189,8952,50985848,3925732,5646754,814751
143826,10430,NA,234,2063,21758,440198343,230225699,192822179,91868968,3785,15,NA,6,15,177,1021,1470,1516,1434,1259,1301,1002,648,511,273,298,861,1779,11437,21758,90544062,23048070,42271242,9818852,206146,170329835,187824843,397373848,412942600,93,716,21758,87802022,7133026,16142026,2440412
145264,4892,NA,239,975,11090,266519586,129012411,114554473,46144300,941,9,1,NA,14,68,461,661,742,705,504,550,398,267,192,112,125,433,1079,4429,11090,74624098,14104033,27202527,5751713,685,106838456,119940046,232963898,266498905,139,429,11090,132437265,8266776,19563160,2365535
140276,4017,NA,199,865,9401,260124665,143515803,110682639,52140255,987,20,NA,NA,8,57,460,600,632,585,486,437,355,274,215,130,98,236,953,3903,9401,57511477,16452255,27698647,6947168,35297,82562997,94529694,199711561,204746613,39,237,9401,46442364,7114152,11074757,2345775
125966,4832,NA,394,1581,9420,459235762,247912935,205142096,92903301,979,2,NA,4,9,69,508,735,667,650,457,451,332,181,151,80,49,314,749,3995,9420,47719637,16157398,33706574,7781236,14928,80982210,94161136,132740825,200637070,32,236,9420,38579442,7491025,7974605,1962312
131672,5743,NA,173,1435,12532,380526266,157531130,150073138,58597528,1233,2,NA,1,7,66,504,818,727,722,538,602,491,258,238,123,138,345,813,5085,12532,68369738,15963584,33172991,8072281,47370,97919283,99094000,157781980,219834446,54,458,12532,77653802,8235818,14671046,2420164
130967,1704,NA,9,102,3808,23019271,10377541,9728402,4470864,143,1,NA,1,2,13,106,199,223,228,166,148,127,71,51,26,23,169,220,1678,3808,19866634,6664477,9410770,2818479,4880,21804628,26614134,74798231,58660076,1,67,3808,9979893,1566493,1916622,401264
126659,1865,NA,38,471,4768,178800091,85906289,76722388,34877722,406,NA,NA,NA,4,14,140,238,215,259,197,205,155,89,72,43,41,138,149,1672,4768,26037648,7556455,11595640,3511489,NA,19149841,27699750,32078057,47971846,6,128,4768,19367938,3254656,4983737,1051591
150981,2552,NA,13,269,5094,59571399,28357405,24681402,12201593,798,NA,NA,NA,4,35,251,326,345,312,272,304,229,154,139,89,104,243,499,2869,5094,37224965,8691244,14929587,3924040,NA,38133513,41263850,113329375,97084685,27,212,5094,38313902,3687201,5733152,1181685
150976,4221,NA,109,425,8194,122219988,61855964,49818939,21874693,655,9,NA,1,8,65,497,820,700,595,380,424,316,226,170,84,74,237,1517,4232,8194,45463748,11357093,25932979,6416853,2237,121763255,120076865,230364684,269654212,57,219,8194,51509562,4151841,10817691,1551360
121696,1926,NA,23,139,3910,41665400,21549777,18381871,8387748,179,NA,NA,NA,3,23,183,297,306,249,166,197,122,70,54,17,19,157,450,1918,3910,15136718,4243211,7804995,1858039,NA,37332680,46066891,92361254,89382540,7,48,3910,9626058,1013909,3282950,324624
140267,5642,NA,58,247,11683,46207624,23877241,20985800,9423103,1525,8,NA,1,6,133,944,1293,1021,832,524,565,365,215,137,79,65,544,1989,6646,11683,53390057,12407858,21482699,4997983,38506,162599777,177499342,276438833,410052764,57,274,11683,38162987,3348646,4936030,877245
148835,53169,2,831,2972,95054,605083735,248473985,240711319,98006035,11498,13,1,9,49,866,9485,15506,10578,6394,3704,4227,3293,1885,1341,666,628,2654,29997,58043,95054,482326815,97260574,352538634,54732000,252515,1699586809,1631349517,1815763775,3681507575,1493,3655,95054,958454703,48178230,150667545,15896440
148107,5466,NA,150,587,10097,222353323,88032461,76037622,31492226,825,9,NA,2,7,68,455,783,865,711,581,567,476,248,195,84,105,510,1174,4631,10097,71765526,11275086,19101208,4006584,15243,120791229,126642886,227822690,286325241,368,1074,10097,430544681,16329226,33922696,3399546
141683,7336,NA,408,1449,17846,447718611,238536385,205837275,91829063,1217,6,NA,NA,14,135,823,1195,1143,1072,797,694,527,349,267,130,132,464,2025,6720,17846,90185883,28223745,47081639,12248847,23137,177713186,194910703,373289011,407341235,113,388,17846,94445011,6691927,20655014,2222932
146676,29106,NA,272,1960,53357,196257990,84961333,80233254,32241504,12789,3,NA,7,88,960,5756,6541,5568,4548,3615,3684,2762,1442,1149,550,466,1640,7454,37838,53357,234490248,26123440,101780818,10160886,90547,589658421,666823418,605359440,1469401253,407,2102,53357,261188497,10537073,27836308,2923257
158121,2567,NA,19,75,5452,11100517,5872813,4388721,2347907,672,11,1,1,8,87,601,530,391,316,252,257,196,109,74,34,33,164,985,3090,5452,22315844,6911669,14573416,3690096,1692,73886021,85222338,176142852,191064349,22,74,5452,5669063,824132,1213149,267970
120937,365,NA,1,16,951,1843102,925854,866264,266514,31,NA,NA,NA,1,3,42,66,65,44,41,30,22,17,7,3,9,20,114,373,951,4108407,1046542,1966971,463992,NA,7593206,9853598,12786566,18673534,1,7,951,1028256,166208,383105,129200
129542,4791,NA,114,733,10251,203409946,106673920,93361710,42265962,881,3,NA,NA,5,63,407,613,647,655,527,514,394,232,188,111,83,406,616,4745,10251,52769331,15248686,27843458,7311297,126,60977901,77827061,126939465,142631965,22,198,10251,29353286,4101145,8348637,1378561
135986,10734,NA,45,367,30242,80898425,30895803,35634549,12934276,983,NA,1,4,7,61,492,825,1251,1318,981,933,920,879,931,538,342,924,1858,10984,30242,149451943,20637231,85190478,9433669,NA,132323870,138911167,252600760,329603680,41,366,30242,44325136,2707702,12184595,934776
129505,875,NA,31,157,1961,44585645,28948072,19817352,11684379,258,7,NA,1,2,24,142,165,156,131,99,125,63,33,29,13,9,52,229,939,1961,6771617,2566319,3671778,1184394,NA,18829116,25029176,30482504,49399014,4,37,1961,2858114,308682,945597,59601
139538,8020,NA,511,1677,18985,577882559,300712008,266971695,114601231,1183,NA,NA,2,12,126,856,1244,1332,1227,892,857,559,363,279,149,115,495,2127,7147,18985,100293129,27274041,58242768,14030735,NA,186351150,209548209,361805008,435730107,90,381,18985,92883546,12649304,25894016,4514652
173849,4399,1,11,74,8546,12226138,6509007,5677974,2704068,483,NA,NA,1,4,59,373,691,599,518,423,374,269,158,115,70,48,499,1267,4702,8546,35554177,8174239,13182558,3102506,269608,79779732,89279904,168136628,192254814,19,106,8546,11900907,843460,2968906,338703
188124,2945,NA,161,518,9745,131825612,81143167,66602745,34805608,399,1,NA,1,8,50,354,598,568,456,265,210,141,98,75,31,29,166,916,2571,9745,48700996,24850481,32829625,11028701,17616,72869769,78007730,123371189,157818726,82,258,9745,43140612,9039444,13610583,3443090
188846,471,NA,8,54,1136,8447425,5498043,4341273,2254665,95,3,NA,NA,1,9,75,105,84,72,47,44,26,8,5,3,3,20,121,487,1136,7261540,2930046,3244240,1290081,2694,10211056,13430995,25814050,24825321,6,25,1136,3440661,435245,643339,140047
172416,6766,1,339,1063,11352,358196737,189177032,163358794,72906991,917,4,NA,NA,5,101,878,1316,1223,940,589,581,350,178,124,93,69,488,1886,5363,11352,73449007,17219525,31330622,7802332,210392,185686641,184261718,331949095,420447669,519,1260,11352,491184760,19347341,38480846,4072566
181736,435,NA,NA,35,1200,7581248,4146226,3206233,1808708,56,NA,NA,NA,2,6,32,47,52,61,31,44,30,16,10,4,4,48,64,439,1200,5465417,1383591,2173530,478303,NA,3577204,8065454,16179415,14238783,NA,17,1200,2447047,387705,947206,224308
189594,326,NA,3,17,944,3607607,1684809,1285790,591998,28,NA,NA,NA,1,4,24,54,40,46,22,24,15,7,8,3,1,38,52,322,944,4873276,723758,1661789,249661,NA,4167524,4691190,14910984,10640742,3,15,944,3933358,191036,873942,55559
179608,155,NA,9,25,317,8305519,4600578,3881259,2019889,21,1,NA,NA,NA,4,17,34,22,15,17,11,11,3,1,2,NA,10,39,143,317,1081031,347463,791149,310606,873,3928794,4682077,10885801,7114158,1,8,317,1022530,355496,175682,82882
190269,7441,NA,584,1375,16795,352636650,224159459,171643424,80742135,1157,4,NA,1,13,127,889,1609,1663,1355,686,500,319,201,153,65,36,538,2761,6739,16795,107951052,40069714,72567936,17621731,15681,226069764,234201379,303447275,496598014,188,529,16795,101201078,13155570,17204314,3835423
177435,5695,NA,68,365,8202,89224257,36905028,29902549,13484960,594,2,NA,NA,1,27,736,1673,1457,758,298,218,131,55,49,16,11,335,1281,3152,8202,100815636,10504001,13536954,2224150,NA,246475316,141399864,195288272,383426774,1597,2772,8202,594607341,41176456,39323748,3707590
193117,7227,NA,219,903,15977,223507495,153362224,117026792,62360134,902,11,NA,NA,11,128,1091,1582,1094,811,556,550,431,232,164,84,76,506,1720,6917,15977,76647267,32573200,47679658,14515287,27762,167229812,171029315,228774206,356037658,79,315,15977,67660888,7499003,16647675,2262453
168144,5985,2,105,653,10984,219145291,127223253,97313582,49044060,667,15,NA,1,1,52,502,891,815,709,547,512,364,188,144,68,60,803,1602,5828,10984,54703994,17944298,28965446,8124552,410525,116144577,136034699,434154790,281777345,38,173,10984,36211850,6870289,7612679,2124345
176002,8568,NA,548,1601,23360,528221145,277367640,249259160,107747957,1245,7,2,3,10,109,1148,1953,1332,1074,626,559,363,208,117,69,73,1120,3188,7628,23360,137415825,41466417,66941270,19766272,13774,215883499,204363185,427328536,460338079,211,585,23360,161681655,17297970,35290050,5109628
157430,6236,NA,271,798,13686,197423323,98045401,75962431,35136219,1402,2,NA,NA,6,80,777,1334,1074,845,524,520,337,197,104,67,67,652,2440,6303,13686,81622622,20920397,35560033,10279350,14494,153208275,159803879,408682206,359734272,176,538,13686,143751427,11467437,27270590,3270355
178839,4109,NA,67,170,8110,46201970,24373264,19548171,8616552,359,7,NA,2,3,50,383,708,691,644,463,379,234,122,115,53,38,243,1410,4217,8110,45368958,16047787,22485846,6500942,4662,105598182,107262256,203702346,244114632,14,81,8110,14106040,3707997,3071598,1108528
175983,2681,NA,104,357,6101,117119912,58923590,53940230,24337515,256,3,NA,NA,7,39,293,443,368,332,235,230,131,94,68,36,38,170,642,2393,6101,32325962,8786639,16298038,4391649,711,56611240,62010729,126781421,138192941,52,188,6101,47970080,4757797,11536038,1690352
169585,3712,NA,121,694,7808,180475201,94973934,77639823,36244241,759,1,NA,NA,3,45,384,606,585,446,290,292,207,110,71,33,39,314,720,3341,7808,53340229,14381041,19898998,5664434,8571,63167056,68315971,150935860,151669635,77,442,7808,118141572,8907621,12696253,1928368
156704,12539,NA,658,1919,25797,573277577,309214772,245770398,118614710,2771,12,NA,5,31,223,2184,3183,2428,1666,1066,1019,806,463,329,181,138,739,5279,12156,25797,172466127,54007834,63342984,23787324,49383,359438927,378798367,557278004,841256394,563,1235,25797,460418998,29814585,48003550,6484150
198832,2465,NA,107,420,7796,109876156,62806171,54319737,25524281,256,10,NA,NA,1,30,281,415,358,325,229,170,122,102,100,54,39,145,499,2125,7796,37503097,16539835,23727022,7234810,22685,50778322,47007822,83400341,102633754,48,179,7796,27076532,5232725,8837202,1745919
178830,4768,NA,4,261,9139,16939798,6951437,7625022,2846564,1104,NA,NA,2,7,46,529,860,777,735,421,352,253,158,137,92,71,272,1328,5399,9139,33374532,7915613,37232361,3992957,NA,108693050,94268171,111622395,246332549,23,213,9139,14745145,1624419,4162204,588807
161717,11597,NA,563,1860,23096,250435966,111401220,85063703,39136819,3321,12,NA,2,11,134,1539,2932,2336,1759,1082,953,651,337,218,87,85,1020,4539,11153,23096,153787681,26013126,49529549,10740165,78405,335331872,328164422,576249671,732735483,814,1907,23096,656618166,27118050,52399155,4863555
170285,4130,NA,170,480,9932,191436738,91077815,75056626,33168112,442,5,NA,1,3,78,447,608,611,527,350,337,224,131,95,42,49,389,1319,3929,9932,58073367,19446674,32962677,8615881,1802,86853500,89804432,171567319,209336665,33,163,9932,37256119,4984864,6985875,1618456
165998,12124,NA,598,2055,31607,662710551,331771887,308840051,128011577,1632,8,1,4,9,108,1109,1859,1644,1467,1172,1163,783,449,274,176,198,1251,2621,10886,31607,161734303,45265202,81622003,19708368,120706,209387155,223415507,432390569,490683402,177,817,31607,191720309,17849963,42291732,6610429
198894,2612,NA,134,914,8086,10581987,4741821,4362142,2114957,2227,NA,NA,1,1,19,233,544,614,544,374,322,241,106,68,29,35,350,1499,3637,8086,24453951,6782055,9419239,2468609,NA,58311107,59815169,249440932,155813679,65,288,8086,9647893,1205663,2742340,527752
169554,4683,NA,176,738,10427,242580762,127540089,109139384,48278900,568,NA,NA,NA,3,75,617,893,675,524,378,391,336,191,136,74,67,313,1204,4177,10427,60204833,15741269,25722245,6655248,NA,113686651,118199726,214461278,264407504,71,337,10427,93967087,6762501,14752868,1882597
158148,4289,NA,44,231,9344,30545188,14149034,11120928,4840172,763,21,NA,1,5,47,387,620,622,572,369,397,322,283,304,163,126,351,1307,4558,9344,64073995,14341021,26373625,5878081,64794,84951145,86821080,233760603,202225102,50,263,9344,32877671,3811251,7273494,1367937
165988,4256,NA,82,451,9632,107726123,54594485,44558667,21204753,785,9,NA,3,7,51,471,641,585,571,402,410,306,188,149,72,111,305,1057,4413,9632,53150766,16014493,23206812,6512930,70738,88185678,88747035,219634327,220708499,28,177,9632,26676907,4521839,6269183,1328971
178145,5262,NA,128,1150,12951,338549660,177038752,146594681,73327834,1090,1,NA,2,7,81,526,875,714,601,424,430,273,164,136,78,121,448,1261,4813,12951,72878342,23447372,31796204,10634188,15520,93970212,105924590,179144603,211367696,82,391,12951,73278511,11991120,18896726,4116635
179574,3646,NA,17,301,6229,69515445,32997157,27459567,13936117,487,3,NA,NA,NA,24,215,475,484,349,233,179,108,50,38,15,14,1162,769,2867,6229,65417582,17566690,21094304,7020213,10178,65016909,62148204,143262218,158733413,520,965,6229,250459927,11636513,17833082,2765361
154623,1741,NA,179,406,3818,143076837,75535801,68142854,29222902,225,NA,NA,NA,3,17,209,331,297,256,169,138,112,50,40,19,23,107,482,1496,3818,20317414,7152950,13014555,3956058,NA,40850900,46427825,114105828,101668993,18,64,3818,12720331,1011184,2600834,346885
152424,8178,NA,397,1534,16774,334567143,170092011,137825595,62399598,1968,10,NA,3,14,101,965,1434,1358,1164,794,818,634,337,280,141,131,724,2519,7955,16774,102849349,21731426,34346509,8423641,1059,190480449,206825671,431778340,461205928,204,665,16774,174362993,11066655,24670721,3067995
149569,5841,NA,246,1149,11552,380610009,194247464,153259999,71845219,1361,18,NA,1,7,113,688,1092,993,796,597,560,412,249,154,104,83,455,1818,5501,11552,67972152,24531123,24308935,10224593,57032,148026951,155777369,381141826,348256532,186,552,11552,178151681,9914317,19619858,2470103
151737,11599,NA,529,2751,23013,688525100,401091986,308679988,153444877,2499,1,NA,2,20,214,1520,2063,1581,1371,1013,1080,759,574,419,223,227,771,1957,10851,23013,131280378,47960784,64117056,20498466,6021,190936429,224513307,383487537,475274420,75,505,23013,80665988,14754700,18661116,4440872
153154,4366,NA,165,558,9798,193614057,120687884,94994141,45711011,347,2,NA,NA,7,58,441,797,723,564,398,368,261,185,134,81,79,294,1407,4020,9798,53960395,12748809,24396557,6173248,443,111645929,113708073,280244930,242861348,25,135,9798,28560812,2742765,7872808,1060458
151761,2812,NA,53,163,6948,45788842,22605520,19632735,8721770,272,NA,NA,NA,7,36,388,638,539,420,232,206,127,84,64,31,21,128,956,2733,6948,30771461,10159897,13720404,4069352,NA,79592037,77755135,206588236,170132824,81,189,6948,66851929,4152655,6199321,845093
153147,11149,NA,594,2377,23803,656148052,339909085,271278852,128532875,2720,4,1,5,28,262,1710,2213,1840,1554,998,987,663,400,320,167,153,774,3822,10691,23803,129395094,41040867,59640422,21503334,35493,267917278,313126695,697988585,633195316,266,802,23803,211146157,17123430,29558863,5252896
154574,26459,NA,676,1630,62475,305006774,151210446,129001905,60349134,6802,3,NA,6,27,639,5544,7237,4982,3193,1792,1748,1202,595,397,199,183,2495,13972,30653,62475,242220483,103097457,150412039,64346588,1257,728132192,784793211,1471641833,1662353068,425,980,62475,170382630,20430810,36808418,6543162
155315,980,NA,13,68,2557,16737602,8452881,6541589,3068128,62,NA,NA,NA,NA,13,86,167,154,133,116,66,59,30,26,9,6,90,242,932,2557,14064859,4036487,5741570,1789351,NA,25868067,26166100,70838457,60006531,7,42,2557,11434119,1581944,2505727,376186
151032,2940,NA,267,896,6665,235039325,152336391,122574437,57169212,510,1,NA,1,1,40,356,479,447,321,231,203,160,94,83,35,28,242,430,2404,6665,35951913,17500880,20282107,7477316,NA,53096890,56909947,118753686,128700635,19,151,6665,20413726,3917082,4236462,1094327
163182,2007,NA,226,734,5368,287279550,160831021,133504536,61102101,192,NA,NA,1,6,24,209,353,322,297,188,184,138,59,67,27,26,108,342,1376,5368,27344684,10166702,19463198,5355153,NA,44261520,57766388,99159324,106857073,21,89,5368,23358833,5880734,8519362,2131827
