id,value
id_0,30.4386565691
id_1,65.6437555467
id_2,35.0188590991
id_3,41.4252562436
id_4,9.12390062774
id_5,18.7729291647
id_6,51.0984046552
id_7,24.5068612879
id_8,57.052808044
id_9,15.71243253
id_10,31.133910337
id_11,56.6661278146
id_12,60.3217734182
id_13,21.772215315
id_14,49.3565028057
id_15,15.1238054811
id_16,69.2713770987
id_17,24.0985917749
id_18,14.0910592891
id_19,13.6258814007
id_20,8.12197519053
id_21,25.0937181282
id_22,29.7753243415
id_23,19.251552941
id_24,46.9892041656
id_25,28.4215985613
id_26,18.6745779354
id_27,13.1589831226
id_28,28.6161016978
id_29,16.762151269
id_30,5.27455565796
id_31,6.94762286864
id_32,22.4585877461
id_33,7.01737020584
id_34,26.902618759
id_35,60.2900990302
id_36,31.7170343429
id_37,38.850461611
id_38,2.51359540759
id_39,40.015293078
id_40,43.2705259904
id_41,39.1815321698
id_42,44.2053182946
id_43,25.313772222
id_44,24.4816831645
id_45,66.2300604741
id_46,66.9151315013
id_47,44.9509856441
id_48,36.2210955096
id_49,16.6344296554
id_50,45.7920810893
id_51,22.9462611413
id_52,44.6122407777
id_53,23.7083907353
id_54,38.4277598918
id_55,48.0885129824
id_56,26.6161853592
id_57,20.9879620951
id_58,51.4980743673
id_59,54.471400217
id_60,1.38785103436
id_61,62.0089675332
id_62,29.8322830797
id_63,35.7015885439
id_64,38.4970171266
id_65,26.4958252789
id_66,38.0517725804
id_67,64.2068897222
id_68,26.0128566421
id_69,41.6380046119
id_70,61.7687809318
id_71,64.9213469045
id_72,27.0873941385
id_73,8.70663826366
id_74,13.5989583454
id_75,38.114235382
id_76,56.0561174441
id_77,13.0736255929
id_78,62.0394395038
id_79,41.9545207863
id_80,8.56988114596
id_81,20.7551718482
id_82,8.68629391723
id_83,40.7640366765
id_84,8.80846497594
id_85,11.3879291147
id_86,5.01059367024
id_87,19.548921493
id_88,33.0957836976
id_89,19.2001113769
id_90,18.9908165722
id_91,4.51204891019
id_92,29.0285615653
id_93,11.0016721919
id_94,23.387424337
id_95,28.6167209513
id_96,10.0112900401
id_97,6.89170368487
id_98,2.43041330472
id_99,15.4530275757
id_100,11.4939199763
id_101,31.3800130254
id_102,5.22749603129
id_103,5.41977388937
id_104,16.1095140482
id_105,21.1734118757
id_106,29.8982142957
id_107,23.7108884368
id_108,31.2523707523
id_109,20.8015061684
id_110,16.2648372611
id_111,5.15031935351
id_112,17.0270389794
id_113,16.5208140146
id_114,19.8581991414
id_115,18.6273288675
id_116,22.2627690798
id_117,23.7217123445
id_118,23.8158463726
id_119,10.3166310217
id_120,2.00244240611
id_121,11.570492453
id_122,8.59434930925
id_123,9.35747648629
id_124,6.42519496299
id_125,23.0393726083
id_126,24.8400178989
id_127,14.5921543806
id_128,12.7086642336
id_129,16.2606669242
id_130,3.05233969745
id_131,24.1408658502
id_132,29.1710402323
id_133,58.1074233194
id_134,23.5145573943
id_135,15.4267774254
id_136,20.4738943478
id_137,23.0037646995
id_138,61.0881758251
id_139,71.2589568841
id_140,22.0524878618
id_141,2.66652550694
id_142,17.2434279399
id_143,16.1533183198
id_144,20.48557881
id_145,9.2516035171
id_146,15.2636179626
id_147,6.9841540609
id_148,17.0803172984
id_149,14.8934039504
id_150,13.1057752037
id_151,16.3725190651
id_152,19.3622414434
id_153,10.7476918461
id_154,33.925737536
id_155,38.0153731277
id_156,9.39148112646
id_157,24.1016523541
id_158,18.9977826258
id_159,5.86730107325
id_160,46.7777622371
id_161,18.4584873816
id_162,50.6057456732
id_163,16.5348910763
id_164,30.8367246089
id_165,22.7748401949
id_166,25.258052692
id_167,0.186551923342
id_168,67.0998431216
id_169,24.1335755807
id_170,14.8327823401
id_171,48.6988499498
id_172,4.61155372471
id_173,8.80651701552
id_174,46.0338161786
id_175,1.36649464841
id_176,10.6886486911
id_177,36.7329258082
id_178,25.1716795513
id_179,16.760752531
id_180,37.212498736
id_181,33.1801440342
id_182,39.4366838798
id_183,20.5410892784
id_184,0.834083905419
id_185,39.3311422426
id_186,30.4790637003
id_187,20.1525927028
id_188,16.675388668
id_189,19.6389548935
id_190,8.06875636264
id_191,6.69726071319
id_192,26.7379661558
id_193,80.9249471569
id_194,36.4675530834
id_195,15.6251916506
id_196,62.9326918174
id_197,9.51252188013
id_198,14.8678818432
id_199,28.8719970016
id_200,69.6981959167
id_201,25.0958133055
id_202,50.6992705019
id_203,14.0930436783
id_204,69.1000650998
id_205,8.3765938235
id_206,4.79358741994
id_207,24.3266118767
id_208,47.8155285281
id_209,41.666087918
id_210,30.4798439082
id_211,87.1330486097
id_212,28.7112220507
id_213,159.784533783
id_214,23.7725654997
id_215,115.425058154
id_216,51.6983185012
id_217,64.3704023032
id_218,31.9008012396
id_219,50.3354866189
id_220,44.3217414564
id_221,80.9933918758
id_222,24.3716150554
id_223,37.5683110644
id_224,53.2385348952
id_225,4.73370877098
id_226,13.0969346065
id_227,45.2389409518
id_228,23.9772450361
id_229,0.290459839465
id_230,37.928072629
id_231,18.4199926106
id_232,12.2674888911
id_233,3.59830725274
id_234,23.6739990336
id_235,7.70812815736
id_236,10.5053288625
id_237,8.46616069924
id_238,33.4530206883
id_239,1.18380101758
